单词,音标,词性,中文,备注
ase,,n.,西非宗教的重要能量,可能不是教材常规词，需人工确认是否保留
available,/əˈveɪləbl/,adj.,可能的,由 avaiale 修正
be,/bi/,v.,式(原形)，成为,由 be) 修正，需确认原词就是 be
bow,/boʊ/,n.,鞠躬,由 bow! 修正，需确认原词义
concert,/ˈkɑːnsərt/,n.,"音乐会,演奏会",由 coneem 修正
continue,/kənˈtɪnjuː/,v.,持 续；继续 存在,由 contmue 修正
correct,/kəˈrekt/,v.,改正 正确的,由 corrcet 修正
excellent,/ˈeksələnt/,adj.,极 好 的；优秀 的,由 excelent 修正
Friday,/ˈfraɪdeɪ/,n.,星期五,由 Firday 修正
grandparents,/ˈgrændpeərənts/,n.,祖父母，外祖父母,由 guandparents 修正
granny,/ˈɡræni/,n.,老奶奶，祖母，外婆,由 guanny 修正
guard,/ɡɑːd/,n.,看守；守卫；保卫,由 guared 修正
humorous,/ˈhjuːmərəs/,adj.,有 幽默 感 的；滑 稽 的,由 humorou 修正
international,/ˌɪntərˈnæʃnəl/,adj.,国际的,由 intermational 修正
language,/ˈlæŋɡwɪdʒ/,n.,语言,由 laguage 修正
modern,/ˈmɑːdərn/,adj.,现代 的；当代 的,由 modren 修正
motorcycle,/ˈmoʊtərsaɪkl/,n.,摩托车,由 motorcyle 修正
northern,/ˈnɔːrðərn/,adj.,北方的,由 northem 修正
Olympics,/oʊˈlɪmpɪks/,n.,奥林匹克运动会,由 Olympic(s)Olympic 修正
popcorn,/ˈpɑːpkɔːrn/,n.,爆米花,由 popcor 修正
serve,/sərv/,v.,服务；侍候；担任,由 sreve 修正
sleepy,/ˈsliːpi/,adj.,想睡的，困倦的，瞌睡的,由 sleeply 修正
standard,/ˈstændərd/,n.,标准(的),由 tandard 修正
sudden,/ˈsədən/,adj.,突然的,由 udden 修正
superhero,/ˈsuːpərhɪroʊ/,n.,超级英雄,由 uperhero 修正
town,/taʊn/,n.,城镇，城,由 towm 修正
understand,/ˌʌndərˈstænd/,v.,懂得,由 understan 修正
weight,/weɪt/,n.,重，重量,由 weght 修正
