级别,规则,单词,音标,分块,分块音标,类型,说明
WARN,weak_visual_split,advantage,/ədˈvɑːntɪdʒ/,a | d | v | a | n | t | a | g | e,,vowel consonant consonant vowel consonant consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,again,/əˈɡen/,a | g | ai | n,,vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,although,/ɔːlˈðəʊ/,al | th | ough,,vowel consonant vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,Amusement,/əˈmjuːzmənt/,A | m | u | s | e | ment,,vowel consonant vowel consonant vowel suffix,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,angel,/ˈeɪndʒl/,a | ng | e | l,,vowel consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,angry,/ˈæŋɡri/,a | ng | r | y,,vowel consonant consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,anybody,/ˈenibɒdi/,a | n | y | b | o | d | y,,vowel consonant consonant consonant vowel consonant consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,anyone,/ˈeniwʌn/,a | n | y | o | n | e,,vowel consonant consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,anything,/ˈeniθɪŋ/,a | n | y | th | ing,,vowel consonant consonant consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,anyway,/ˈeniweɪ/,a | n | y | w | ay,,vowel consonant consonant consonant vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,are,/ə/,are,,vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,high_risk_pattern_split,area,/ˈeəiə/,are | a,,vowel_team vowel,高风险拼读组合 `ea` 没有作为整体分块。
WARN,risky_word_without_sounds,area,/ˈeəiə/,are | a,,vowel_team vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,aren't,/ˈɑrənt/,aren't,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,Asian,/ˈeɪʃn/,A | s | i | a | n,,vowel consonant vowel vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,high_risk_pattern_split,bamboo,/ˌbæmˈbuː/,b | a | m | b | oo,/b/ /æ/ /m/ /b/ /uː/,consonant vowel consonant consonant vowel_team,高风险拼读组合 `mb` 没有作为整体分块。
WARN,weak_visual_split,bandage,/ˈbændɪdʒ/,b | a | n | d | a | g | e,,consonant vowel consonant consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,baseball,/ˈbeɪsbɔːl/,b | a | s | e | b | all,,consonant vowel consonant vowel consonant vowel_team,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,basin,/ˈbeɪsn/,b | a | s | i | n,,consonant vowel consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,beautiful,/ˈbjuːtɪfl/,b | ea | u | t | i | ful,,consonant vowel_team vowel consonant vowel suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,beautifully,/ˈbjuːtɪfli/,b | ea | u | t | i | ful | ly,,consonant vowel_team vowel consonant vowel suffix suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,beauty,/ˈbjuːti/,b | ea | u | t | y,,consonant vowel_team vowel consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,behaviour,/bɪˈheɪvjə/,b | e | h | a | v | i | ou | r,,consonant vowel consonant vowel consonant vowel vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,behaviour,/bɪˈheɪvjə/,b | e | h | a | v | i | ou | r,,consonant vowel consonant vowel consonant vowel vowel_team consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,between .,/bɪˈtwiːn/,between .,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,biscuit,/ˈbɪskɪt/,b | i | sc | ui | t,,consonant vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,blackboard,/ˈblækbɔːd/,bl | a | ck | b | oa | r | d,,consonant vowel consonant consonant vowel_team consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,blood,/blʌd/,bl | oo | d,,consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,board,/bɔːd/,b | oa | r | d,,consonant vowel_team consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,boarding,/ˈbɔːdɪŋ/,b | oa | r | d | ing,,consonant vowel_team consonant consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,boring,/ˈbɔːrɪŋ/,b | or | ing,,consonant r_controlled suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,break,/breɪk/,br | ea | k,,consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,Britain,/ˈbrɪtn/,Br | i | t | ai | n,,consonant vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,brochure,/ˈbrəʊʃə/,br | o | ch | ur | e,,consonant vowel consonant r_controlled vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,build,/bɪld/,b | ui | l | d,,consonant vowel_team consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,building,/ˈbɪldɪŋ/,b | ui | l | d | ing,,consonant vowel_team consonant consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,camel,/ˈkæml/,c | a | m | e | l,,consonant vowel consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,cancel,/ˈkænsl/,c | a | n | c | e | l,,consonant vowel consonant consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,captain,/ˈkæptɪn/,c | a | p | t | ai | n,,consonant vowel consonant consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,careful,/ˈkeəfl/,c | are | ful,,consonant vowel_team suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,caring,/ˈkeəɪŋ/,c | ar | ing,,consonant r_controlled suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,ceiling,/ˈsiːlɪŋ/,c | e | i | l | ing,,consonant vowel vowel consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,certain,/ˈsɜːtn/,c | er | t | ai | n,,consonant r_controlled consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,certainly,/ˈsɜːtnli/,c | er | t | ai | n | ly,,consonant r_controlled consonant vowel_team consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,chairwoman,/ˈtʃeəwʊmən/,ch | air | w | o | m | a | n,,consonant vowel_team consonant vowel consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,chairwoman,/ˈtʃeəwʊmən/,ch | air | w | o | m | a | n,,consonant vowel_team consonant vowel consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,chalk,/tʃɔːk/,ch | al | k,,consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,high_risk_pattern_split,challenge,/ˈtʃælɪndʒ/,ch | a | ll | e | n | g | e,/tʃ/ /æ/ /l/ /ɪ/ /n/ /dʒ/ ,consonant vowel consonant vowel consonant consonant silent,高风险拼读组合 `ng` 没有作为整体分块。
WARN,high_risk_pattern_split,change,/tʃeɪndʒ/,ch | a | n | g | e,/tʃ/ /eɪ/ /n/ /dʒ/ ,consonant vowel consonant consonant silent,高风险拼读组合 `ng` 没有作为整体分块。
WARN,risky_word_without_sounds,channel,/ˈtʃænl/,ch | a | nn | e | l,,consonant vowel consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,Charles,/ˈtʃɑrəlz/,Ch | ar | le | s,,consonant r_controlled vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,check-out,/ˈtʃek/,check-out,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,Chiang Mai,/tʃæŋmaɪ/,Chiang Mai,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,chimney,/ˈtʃɪmni/,ch | i | m | n | e | y,,consonant vowel consonant consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,chimney,/ˈtʃɪmni/,ch | i | m | n | e | y,,consonant vowel consonant consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,chocolate,/ˈtʃɒklət/,ch | o | c | o | l | a | t | e,,consonant vowel consonant vowel consonant vowel consonant vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,chocolate,/ˈtʃɒklət/,ch | o | c | o | l | a | t | e,,consonant vowel consonant vowel consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,Christmas,/ˈkrɪsməs/,Ch | r | i | st | m | a | s,,consonant consonant vowel consonant consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,coffee,/ˈkɒfi/,c | o | ff | ee,,consonant vowel consonant vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,collect leaves,/kəˈlɛktlivz/,collect leaves,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,high_risk_pattern_split,Colombia,/kəˈlɒmbiə/,C | o | l | o | m | b | i | a,/k/ /ə/ /l/ /ɒ/ /m/ /b/ /i/ /ə/,consonant vowel consonant vowel consonant consonant vowel vowel,高风险拼读组合 `mb` 没有作为整体分块。
WARN,risky_word_without_sounds,colour,/ˈkʌlə/,c | o | l | ou | r,,consonant vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,colourful,/ˈkʌləfl/,c | o | l | ou | r | ful,,consonant vowel consonant vowel_team consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,community,/kəˈmjuːnəti/,c | o | mm | u | n | i | t | y,,consonant vowel consonant vowel consonant vowel consonant consonant,连续单字母视觉拆分过长，教学价值低。
